Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 23 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Жулебинский бульвар, дом 8",POINT(37.848155701 55.699203471)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 180 филиал № 3 ДЗМ,"город Москва, Пятницкое шоссе, дом 29, корпус 3, строение 1",POINT(37.361615871 55.84965691)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 195 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 195 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Молодогвардейская улица, дом 20, строение 1",POINT(37.421900682 55.73417827)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 209 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 7, корпус 1",POINT(37.46243479 55.721612391)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 69 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 69 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 31А",POINT(37.785218604 55.75511163)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Фруктовая улица, дом 12",POINT(37.613891143 55.660111652)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника г. Московский Департамента здравоохранения города Москвы». Фельдшерско-акушерский пункт Большепокровский,ГБУЗ Поликлиника г. Московский ДЗМ. ФАП Большепокровский,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филимонковский, деревня Большое Покровское, Лесная улица, дом 9",POINT(37.231807452 55.565308838)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 109 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 109 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Печатники, улица Гурьянова, дом 4, корпус 3",POINT(37.719891541 55.691903568)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 170 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Коктебельская улица, дом 6, строение 1",POINT(37.581268391 55.568033398)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 191 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Чусовская улица, дом 9",POINT(37.811282934 55.813596843)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Игральная улица, дом 8",POINT(37.714231652 55.814742399)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Клинико-диагностический центр № 4 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 4 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 45",POINT(37.395372172 55.710076614)
