ticket_id,price,square,rooms,studio,floor,floors_total,building_year,metro,metro_dist,time_to_metro,address,keep,photo,url
11770041.0,18500000,24.0,0,True,10,17.0,2025.0,метро Серпуховская,1300.0,20.0,"Москва, Даниловский, Дубининская 59 корпус 5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/62/54a1d69d0c4045a0181788f9c7a35ad3207d2662.jpeg,https://msk.etagi.com/realty/11770041/
11758893.0,37600000,57.0,2,False,19,40.0,2027.0,станция Беговая,200.0,3.0,"Москва, Хорошёвский, 3-й Хорошёвский проезд 6с",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/bb/6dac65af35a382e4bfa525b238379214e7c38bbb.jpeg,https://msk.etagi.com/realty/11758893/
10967035.0,12300000,19.7,0,True,10,24.0,2026.0,станция Новохохловская,600.0,9.0,"Москва, Текстильщики, 1-й Грайвороновский проезд 7ак3",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/ee/96060e7a0e3e32dd7374990d8302192c4289a9ee.jpeg,https://msk.etagi.com/realty/10967035/
10958283.0,17000000,22.6,0,True,4,25.0,2025.0,метро Павелецкая,600.0,9.0,"Москва, Замоскворечье, Летниковская 6 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/a8/37ae20e096d5543a6199e544e72619ab8527a3a8.jpeg,https://msk.etagi.com/realty/10958283/
10905894.0,23700000,59.6,2,False,3,19.0,2026.0,метро Солнцево,700.0,11.0,"Москва, Солнцево, Производственная 12 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/6e/eaeb43589c6382de69b8c4314fc7474e375b126e.jpeg,https://msk.etagi.com/realty/10905894/
10864305.0,23500000,47.0,1,False,15,24.0,2025.0,метро Фонвизинская,500.0,8.0,"Москва, Бутырский, Огородный проезд 20",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/b3/e8284d8fe94c40443839a23e8db069aa91c0beb3.jpeg,https://msk.etagi.com/realty/10864305/
10860642.0,40000000,86.0,4,False,24,55.0,2025.0,станция Марьина Роща,400.0,6.0,"Москва, Марьина Роща, 4-я улица Марьиной Рощи 12с9",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/84/56a6c967a58c4d00b7f6b79462ea02bef1dcc884.png,https://msk.etagi.com/realty/10860642/
10735766.0,19800000,46.71,1,False,7,30.0,2028.0,метро Печатники,1300.0,20.0,"Москва, Печатники, Южнопортовая 21с52",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects25/12/49/4f0a5cdbb0b3f8fec68307bb8141dd3cf6488749.jpeg,https://msk.etagi.com/realty/10735766/
10734114.0,13700000,34.0,1,False,19,24.0,2026.0,станция Новопеределкино,400.0,6.0,"Москва, Солнцево, Производственная 25с1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects25/12/cb/170b8ebc297bb0eda841ee0091bd9c49d1a4aecb.jpeg,https://msk.etagi.com/realty/10734114/
10659500.0,16580000,42.3,1,False,10,24.0,2026.0,станция Бульвар Рокоссовского,1000.0,15.0,"Москва, Метрогородок, Тагильская 6/5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects25/12/be/dc5e30f80014cefb7d8fa014fba8a1c5c00dd0be.png,https://msk.etagi.com/realty/10659500/
