"id","Code","Name","global_id","Is net object","Operating company","Object type","Area","District","Address","Public phone","Seats amount","Presence of privileges","Longitude in WGS-84","Latitude in WGS-84","Geodata","Centroid"
12339,"00448916",Ресторан Гамбринус,"2671324765",да,Гамбринус,ресторан,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Живарев переулок, дом 8, строение 3",PublicPhone:(495) 540-56-96,"160",нет,"37.6428903182290000","55.7766108459803080","type:Point
coordinates:37.642890318,55.776610846","{type=Point, coordinates=[37.642890318, 55.776610846]}"
12340,"00449042",LEO Грузинский ресторан,"2671324766",нет,"",ресторан,Северный административный округ,район Аэропорт,"город Москва, Ленинградский проспект, дом 36, строение 38",PublicPhone:(925) 533-08-33,"40",нет,"37.5672120000000000","55.7892757670877700","type:Point
coordinates:37.567212,55.789275767","{type=Point, coordinates=[37.567212, 55.789275767]}"
12341,"00275304",ЛАВАШ,"2671324789",нет,"",ресторан,Северный административный округ,Савёловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Петровско-Разумовский проезд, дом 10",PublicPhone:(905) 777-07-86,"80",нет,"37.5694009499489500","55.7949137517546350","type:Point
coordinates:37.56940095,55.794913752","{type=Point, coordinates=[37.56940095, 55.794913752]}"
12342,"00448918",Караоке-бар МАЯК 2.0,"2671324814",нет,"",бар,Северо-Восточный административный округ,район Южное Медведково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Медведково, проезд Дежнёва, дом 21",PublicPhone:(495) 003-24-31,"50",нет,"37.6379730000000020","55.8703747907876500","type:Point
coordinates:37.637973,55.870374791","{type=Point, coordinates=[37.637973, 55.870374791]}"
12343,"00449218",Кафе Vlofte,"2671324820",нет,"",кафе,Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 105",PublicPhone:(903) 589-10-57,"100",нет,"37.4857070000000050","55.6629537305094360","type:Point
coordinates:37.485707,55.662953731","{type=Point, coordinates=[37.485707, 55.662953731]}"
12344,"00449248",Coffee way,"2671324821",да,COFFEE WAY,кафе,Северный административный округ,район Ховрино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Беломорская улица, дом 23",PublicPhone:(903) 749-64-76,"10",нет,"37.4825909999999990","55.8672147898610310","type:Point
coordinates:37.482591,55.86721479","{type=Point, coordinates=[37.482591, 55.86721479]}"
12345,"00448899",KULЕК,"2671324855",нет,"",кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Большая Дмитровка, дом 5/6, строение 4",PublicPhone:(903) 773-23-32,"36",нет,"37.6148280000000100","55.7602257586395420","type:Point
coordinates:37.614828,55.760225759","{type=Point, coordinates=[37.614828, 55.760225759]}"
12347,"00449072",Милти,"2671324871",да,Милти,кафе,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Кочновский проезд, дом 4, корпус 1",PublicPhone:(495) 215-13-11,"0",нет,"37.5415919999999900","55.8061277719985700","type:Point
coordinates:37.541592,55.806127772","{type=Point, coordinates=[37.541592, 55.806127772]}"
12348,"00449036",Al PARCO,"2671324879",нет,"",кафе,Новомосковский административный округ,район Коммунарка,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, Николо-Хованская улица, дом 7, строение 1",PublicPhone:(915) 423-77-34,"10",нет,"37.4513010000000010","55.5887347092100870","type:Point
coordinates:37.451301,55.588734709","{type=Point, coordinates=[37.451301, 55.588734709]}"
12349,"00449162",Московское время,"2671324882",нет,"",кафе,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Гоголевский бульвар, дом 8",PublicPhone:нет телефона,"0",нет,"37.6008619999999990","55.7462697545886390","type:Point
coordinates:37.600862,55.746269755","{type=Point, coordinates=[37.600862, 55.746269755]}"
12350,"00449137",МЕСТО СИЛЫ изменить нельзя,"2671324885",нет,"",предприятие быстрого обслуживания,Западный административный округ,район Очаково-Матвеевское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 6, корпус 1",PublicPhone:(903) 967-45-69,"6",нет,"37.4707169999999900","55.7096037439697440","type:Point
coordinates:37.470717,55.709603744","{type=Point, coordinates=[37.470717, 55.709603744]}"
