rating_position,school_name,okrug,district,address,top_50,location
221,Школа № 1516,Восточный,Гольяново,Россия. город Москва. Хабаровская улица. дом 4А,F,POINT(37.83175 55.81674)
222,Школа № 922,Восточный,Ивановское,Россия. город Москва. улица Молостовых. дом 6А,F,POINT(37.82856 55.76282)
223,Школа № 1246,Восточный,Метрогородок,Россия. город Москва. Открытое шоссе. дом 24. корп. 7,F,POINT(37.75389 55.82018)
224,Школа № 1795 «Лосиноостровская»,Восточный,Метрогородок,Россия. город Москва. Открытое шоссе. дом 23А,F,POINT(37.75235 55.82694)
225,Школа № 2072,Восточный,Новогиреево,Россия. город Москва. Перовская улица. дом 66Г,F,POINT(37.80173 55.74360)
226,Школа № 429 «Соколиная гора»,Восточный,Соколиная Гора,Россия. город Москва. проспект Будённого. дом 15А,F,POINT(37.72498 55.77553)
227,Школа № 1282 «Сокольники»,Восточный,Сокольники,Россия. город Москва. улица Барболина. дом 1,F,POINT(37.68465 55.78976)
228,Школа № 1530 «Школа Ломоносова»,Восточный,Сокольники,Россия. город Москва. улица Стромынка. дом 17,F,POINT(37.69651 55.79476)
229,Школа № 1440,Западный,Крылатское,Россия. город Москва. Осенний бульвар. дом 10. корп. 3,F,POINT(37.41265 55.75753)
230,Школа № 1593,Западный,Крылатское,Россия. город Москва. улица Крылатские Холмы. дом 28. корп. 1,F,POINT(37.41498 55.76487)
231,Школа № 887,Западный,Кунцево,Россия. город Москва. Молдавская улица. дом 6. корп. 2,F,POINT(37.43963 55.73202)
232,Школа № 1195 имени П.И. Меренкова,Западный,Можайский,Россия. город Москва. Вяземская улица. дом 7,F,POINT(37.40547 55.71270)
233,Школа № 1596,Западный,Ново-Переделкино,Россия. город Москва. Новопеределкинская улица. дом 9. корп. 1,F,POINT(37.36350 55.63934)
234,ЦОиС «Москва-98»,Западный,"Проспект 
Вернадского",Россия. город Москва. улица Удальцова. дом 40,F,POINT(37.51607 55.66961)
235,Школа № 1541,Западный,"Проспект 
Вернадского",Россия. город Москва. проспект Вернадского. дом 55,F,POINT(37.50430 55.67285)
236,Школа № 1498 «ММШ»,Западный,Раменки,Россия. город Москва. Мичуринский проспект. дом 23,F,POINT(37.50689 55.69441)
237,Школа № 37,Западный,Раменки,Россия. город Москва. улица Столетова. дом 3,F,POINT(37.50394 55.70326)
238,Новая школа (ОАНО),Западный,Раменки,Россия. город Москва. Мосфильмовская улица. дом 88. корп. 5,F,POINT(37.49134 55.70409)
239,Школа № 1741,Западный,"Тропарёво 
Никулино",Россия. город Москва. Никулинская улица. дом 5,F,POINT(37.45515 55.66681)
