category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 12 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 12 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловская улица, дом 23, корпус 1",POINT(37.719148725 55.621755446)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 38 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 38 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 3-я Фрунзенская улица, дом 6",POINT(37.58140584 55.720109989)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 94 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 94 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Родионовская улица, дом 10, корпус 2",POINT(37.391505814 55.894010063)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 143 филиал №1 Департамента здравохранения города Москвы»,ГБУЗ ДГП № 143 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Яснополянская улица, дом 8",POINT(37.789543683 55.722726249)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 132 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 132 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Юлиана Семёнова, дом 2",POINT(37.401481351 55.642889796)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 122 филиал № 5 ДЗМ,"Западная улица, дом 2, строение 3",POINT(37.8585973 55.817913193)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника г. Московский филиал № 4 Департамента здравоохранения города Москвы». Педиатрическое отделение,ГБУЗ Поликлиника г. Московский филиал № 4 ДЗМ. Педиатрическое отделение,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филимонковский, посёлок Марьино, Светлый бульвар, дом 11",POINT(37.327870027 55.550993503)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 32 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 32 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Ольховская улица, дом 35, строение 1",POINT(37.672735323 55.777262156)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 133 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 133 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Головинское шоссе, дом 6А, строение 1",POINT(37.490902323 55.838128055)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 105 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 105 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, Панфиловский проспект, дом 50",POINT(37.167834643 55.978270808)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 42 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 42 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, Ясногорская улица, дом 3А",POINT(37.539566032 55.610798529)
